,year,artists,duration_ms,name,popularity
18630,2015,"['Leslie Odom Jr.', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Lin-Manuel Miranda', 'Phillipa Soo', 'Original Broadway Cast of Hamilton']",236738,Alexander Hamilton,75
18631,2015,"['Fetty Wap', 'Remy Boyz']",196693,679 (feat. Remy Boyz),77
18632,2015,['Morgan Wallen'],212850,Spin You Around,72
18633,2015,['Alessia Cara'],230227,Scars To Your Beautiful,73
18634,2015,['A$AP Rocky'],238307,L$D,76
18635,2015,['Fetty Wap'],222093,Trap Queen,74
18636,2015,['Cavetown'],226073,This Is Home,76
18637,2015,"['Wiz Khalifa', 'Charlie Puth']",229526,See You Again (feat. Charlie Puth),82
18638,2015,"['Travis Scott', 'Kacy Hill']",339067,90210 (feat. Kacy Hill),75
18639,2015,['X Ambassadors'],193547,Unsteady,77
18640,2015,"['Renée Elise Goldsberry', 'Phillipa Soo', 'Jasmine Cephas-Jones', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",186543,The Schuyler Sisters,74
18641,2015,"['White Noise Meditation', 'Lullaby Land', 'White Noise Babies', 'Calming Sounds', 'Canciones De Cuna']",73887,Brown Noise - Loopable with No Fade,72
18642,2015,"['Jonathan Groff', 'Original Broadway Cast of Hamilton']",208321,You'll Be Back,74
18643,2015,['Justin Bieber'],233720,Love Yourself,82
18644,2015,"['Lin-Manuel Miranda', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",333154,My Shot,74
18645,2015,['Travis Scott'],262693,Antidote,77
18646,2015,"['Meghan Trainor', 'John Legend']",225053,Like I'm Gonna Lose You (feat. John Legend),80
18647,2015,"['Rihanna', 'Kanye West', 'Paul McCartney']",188238,FourFiveSeconds,79
18648,2015,['Cavetown'],179955,Devil Town,76
18649,2015,"['Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",193750,Wait for It,74
18650,2015,['The Weeknd'],213520,Can't Feel My Face,79
18651,2015,"['Phillipa Soo', 'Original Broadway Cast of Hamilton']",249771,Helpless,74
18652,2015,['$uicideBoy$'],111020,Paris,76
18653,2015,['Joy Again'],179499,Looking Out for You,74
18654,2015,['Justin Bieber'],200787,Sorry,82
18655,2015,['The Weeknd'],249040,Often,77
18656,2015,"['Ocean Waves For Sleep', 'Ocean Sounds Collection', 'Ocean Sounds', 'Fresh Water Sounds', 'Water Sound Natural White Noise']",96872,Rolling Ocean Waves,72
18657,2015,['mike.'],268566,These Days,73
18658,2015,['Kodak Black'],165291,No Flockin',71
18659,2015,"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan']",156631,"Aaron Burr, Sir",73
18660,2015,['Beach House'],320467,Space Song,70
18661,2015,"['$uicideBoy$', 'Pouya']",205766,Runnin' Thru The 7th With My Woadies,74
18662,2015,['One Direction'],192120,Drag Me Down,81
18663,2015,['Flo Rida'],192191,My House,76
18664,2015,['Rae Sremmurd'],206307,This Could Be Us,74
18665,2015,['Kendrick Lamar'],219333,Alright,73
18666,2015,"['Jeremih', 'YG']",266840,Don't Tell 'Em,75
18667,2015,['Tame Impala'],467587,Let It Happen,76
18668,2015,"['Leslie Odom Jr.', 'Daveed Diggs', 'Original Broadway Cast of Hamilton']",127578,Guns and Ships,72
18669,2015,['Amber Run'],273000,I Found,76
18670,2015,"['Jeremih', 'J. Cole']",240320,Planez,72
18671,2015,['Cage The Elephant'],225973,Trouble,73
18672,2015,['One Direction'],177973,Olivia,78
18673,2015,"['Drake', 'Future']",205879,Jumpman,74
18674,2015,['Steve Lacy'],129698,C U Girl,72
18675,2015,['Bryson Tiller'],249320,Right My Wrongs,72
18676,2015,['Trey Songz'],197854,Slow Motion,73
18677,2015,['Colter Wall'],192480,Sleeping on the Blacktop,70
18679,2015,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Renée Elise Goldsberry', 'Phillipa Soo', 'Christopher Jackson', 'Original Broadway Cast of Hamilton']",385438,Non-Stop,72
18680,2015,"['G-Eazy', 'Bebe Rexha']",251467,"Me, Myself & I",76
18681,2015,['Tame Impala'],363240,"New Person, Same Old Mistakes",73
18682,2015,['Kodak Black'],241659,Already,70
18683,2015,['Chris Stapleton'],253200,Parachute,70
18684,2015,"['Sam Smith', 'John Legend']",219536,Lay Me Down,76
18685,2015,"[""Olivia O'Brien""]",189000,Complicated,77
18686,2015,['Shawn Mendes'],206880,Stitches,73
18687,2015,"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",321697,Right Hand Man,71
18688,2015,"['Major Lazer', 'MØ', 'DJ Snake']",176561,Lean On,72
18689,2015,['Sia'],216120,Chandelier,70
18690,2015,['The Weeknd'],277680,Earned It (Fifty Shades Of Grey),71
18691,2015,"['Lin-Manuel Miranda', 'Anthony Ramos', 'Okieriete Onaodowan', 'Daveed Diggs', 'Original Broadway Cast of Hamilton']",91981,The Story of Tonight,71
18692,2015,['NF'],270453,Paralyzed,75
18693,2015,['Rihanna'],219306,Bitch Better Have My Money,76
18694,2015,"['Leslie Odom Jr.', 'Lin-Manuel Miranda']",184004,Dear Theodosia,71
18696,2015,['Kendrick Lamar'],234693,King Kunta,74
18697,2015,['Justin Bieber'],205680,What Do You Mean?,78
18698,2015,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Daveed Diggs', 'Okieriete Onaodowan', 'Original Broadway Cast of Hamilton']",318215,The Room Where It Happens,71
18699,2015,"['Thayne Jasperson', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",112742,Farmer Refuted,71
18700,2015,['Halsey'],199593,Gasoline,73
18701,2015,['Original Broadway Cast of Hamilton'],242588,Yorktown (The World Turned Upside Down),71
18702,2015,['Andra Day'],253342,Rise Up,76
18703,2015,['The Weeknd'],348853,Acquainted,72
18704,2015,['Ruth B.'],275280,Lost Boy,76
18705,2015,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",69901,A Winter's Ball,71
18706,2015,['Fall Out Boy'],189387,Immortals,74
18707,2015,['X Ambassadors'],195200,Renegades,76
18708,2015,"['Jeremih', 'Ty Dolla $ign']",245520,Impatient,72
18710,2015,"['Meek Mill', 'Drake']",197133,R.I.C.O. (feat. Drake),71
18711,2015,"['The Chainsmokers', 'ROZES']",226739,Roses,74
18712,2015,['Phillipa Soo'],225241,Burn,70
18713,2015,['Twenty One Pilots'],188493,Tear in My Heart,73
18715,2015,['Rae Sremmurd'],200080,No Type,73
18716,2015,['Meghan Trainor'],176267,Better When I'm Dancin',76
18718,2015,['Drake'],320400,Jungle,71
18719,2015,['Melanie Martinez'],201520,Mad Hatter,73
